Pair,Gap
115,1.0000000000509601e-05
116,7.000000000090267e-06
117,1.000000000139778e-06
118,1.3999999999292356e-05
119,7.000000000090267e-06
120,7.000000000090267e-06
121,4.000000000559112e-06
122,1.3999999999292356e-05
123,3.000000000419334e-06
124,7.000000000090267e-06
125,1.0000000000509601e-05
126,1.0000000000509601e-05
127,7.000000000090267e-06
128,3.000000000419334e-06
129,7.000000000090267e-06
130,4.000000000559112e-06
131,3.000000000419334e-06
132,6.999999999202089e-06
133,1.000000000139778e-06
134,6.999999999202089e-06
135,1.0000000000509601e-05
136,4.000000000559112e-06
137,1.4000000000180535e-05
138,0.0
139,1.0000000000509601e-05
140,1.000000000139778e-06
141,3.000000000419334e-06
142,3.000000000419334e-06
143,1.0000000000509601e-05
144,4.000000000559112e-06
145,0.0
146,6.999999999202089e-06
147,4.000000000559112e-06
148,3.000000000419334e-06
149,0.0
150,1.3999999999292356e-05
151,7.000000000090267e-06
152,7.000000000090267e-06
153,6.999999999202089e-06
154,4.000000000559112e-06
155,1.4000000000180535e-05
156,3.000000000419334e-06
157,0.0
158,7.000000000090267e-06
159,3.9999999996709334e-06
160,1.4000000000180535e-05
161,9.999999999621423e-06
162,3.9999999996709334e-06
163,1.000000000139778e-06
164,7.000000000090267e-06
165,9.999999999621423e-06
166,7.000000000090267e-06
167,4.000000000559112e-06
168,7.000000000090267e-06
169,7.000000000090267e-06
170,1.4000000000180535e-05
171,3.000000000419334e-06
172,7.000000000090267e-06
173,7.000000000090267e-06
174,1.4000000000180535e-05
175,0.0
176,7.000000000090267e-06
177,3.000000000419334e-06
178,0.0
179,3.9999999996709334e-06
180,0.0
181,9.999999999621423e-06
182,7.000000000090267e-06
183,1.4000000000180535e-05
184,7.000000000090267e-06
185,7.000000000090267e-06
186,7.000000000090267e-06
187,3.9999999996709334e-06
188,1.4000000000180535e-05
189,9.999999999621423e-06
190,3.9999999996709334e-06
191,1.4000000000180535e-05
192,2.9999999995311555e-06
193,7.000000000090267e-06
194,3.9999999996709334e-06
195,1.4000000000180535e-05
196,2.9999999995311555e-06
197,7.000000000090267e-06
198,1.000000000139778e-06
199,7.000000000090267e-06
200,3.9999999996709334e-06
201,1.4000000000180535e-05
202,9.999999999621423e-06
203,7.000000000090267e-06
204,3.9999999996709334e-06
205,2.9999999995311555e-06
206,7.000000000090267e-06
207,0.0
208,3.9999999996709334e-06
209,7.000000000090267e-06
210,4.000000000559112e-06
211,3.0000000013075123e-06
212,0.0
213,7.000000000090267e-06
214,1.3999999998404178e-05
215,1.000000000139778e-05
216,1.3999999998404178e-05
217,7.000000000090267e-06
218,0.0
219,1.4000000000180535e-05
220,6.9999999983139105e-06
221,9.999999999621423e-06
222,4.000000000559112e-06
223,1.4000000000180535e-05
224,9.999999999621423e-06
225,0.0
226,1.3999999998404178e-05
227,1.000000000139778e-05
228,7.000000000090267e-06
229,6.9999999983139105e-06
230,1.4000000000180535e-05
231,2.9999999995311555e-06
232,3.0000000013075123e-06
233,6.9999999983139105e-06
234,1.4000000000180535e-05
235,3.0000000013075123e-06
236,6.9999999983139105e-06
237,7.000000000090267e-06
238,1.4000000000180535e-05
239,2.9999999995311555e-06
240,7.000000000090267e-06
241,9.999999999621423e-06
242,0.0
243,1.3999999998404178e-05
244,2.9999999995311555e-06
245,9.999999999621423e-06
246,6.9999999983139105e-06
247,1.4000000000180535e-05
248,3.0000000013075123e-06
249,6.9999999983139105e-06
250,3.999999998782755e-06
251,4.000000000559112e-06
252,7.000000000090267e-06
253,7.000000000090267e-06
254,2.9999999995311555e-06
255,0.0
256,3.999999998782755e-06
257,7.000000000090267e-06
258,9.999999999621423e-06
259,9.999999999621423e-06
260,1.0000000010279564e-06
261,3.0000000013075123e-06
262,9.999999999621423e-06
263,4.000000000559112e-06
264,3.0000000013075123e-06
265,7.000000000090267e-06
266,2.9999999995311555e-06
267,9.999999999621423e-06
268,7.000000000090267e-06
269,1.4000000000180535e-05
270,9.999999999621423e-06
271,3.999999998782755e-06
272,7.000000000090267e-06
273,7.000000000090267e-06
274,2.9999999995311555e-06
275,0.0
276,7.000000000090267e-06
277,4.000000000559112e-06
278,2.9999999995311555e-06
279,7.000000000090267e-06
